dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-16T15-40-00Z,45.7616667,13.4963333,11.65,22.33,37.26,-0,0.004,0.004,0,0.056,0.007,0.056,82.87
2024-09-16T15-50-00Z,45.7616667,13.4963333,11.69,22.32,44.07,-0.006,0.001,0.006,279.46,0.003,-0.044,0.044,176.1
2024-09-16T16-00-00Z,45.7616667,13.4963333,11.73,22.32,26.61,-0.001,-0.006,0.006,189.46,0.012,-0.013,0.018,137.29
2024-09-16T16-10-00Z,45.7616667,13.4963333,11.76,22.32,10.61,-0.027,0.021,0.034,307.87,-0.001,0.011,0.011,354.81
2024-09-16T16-20-00Z,45.7616667,13.4963333,11.78,22.32,32.73,-0.003,-0.001,0.003,251.57,0.031,-0.016,0.035,117.3
2024-09-16T16-30-00Z,45.7616667,13.4963333,11.82,22.32,22.18,-0.029,0.013,0.032,294.15,0.003,-0.014,0.014,167.91
2024-09-16T16-40-00Z,45.7616667,13.4963333,11.86,22.32,9.09,0.003,0.04,0.04,4.29,0.002,0,0.002,90
2024-09-16T16-50-00Z,45.7616667,13.4963333,11.9,22.32,-11.2,-0.016,0.029,0.033,331.11,0.011,0.033,0.035,18.43
2024-09-16T17-00-00Z,45.7616667,13.4963333,11.95,22.32,-18.83,0,0.057,0.057,0,0,0.035,0.035,0
2024-09-16T17-20-00Z,45.7616667,13.4963333,12.01,22.31,5.83,0.02,-0.008,0.022,111.8,-0.028,0.008,0.029,285.95
2024-09-16T17-30-00Z,45.7616667,13.4963333,12.02,22.31,30.7,0.003,-0.018,0.018,170.54,0.026,-0.007,0.027,105.07
2024-09-16T17-40-00Z,45.7616667,13.4963333,12.04,22.31,41.72,-0.004,0.018,0.018,347.47,0.021,-0.046,0.051,155.46
2024-09-16T17-50-00Z,45.7616667,13.4963333,12.05,22.31,40.78,-0.002,0.065,0.065,358.24,-0.007,-0.071,0.071,185.63
2024-09-16T18-00-00Z,45.7616667,13.4963333,12.08,22.31,19.95,-0.029,0.099,0.103,343.67,0.031,-0.036,0.048,139.27
2024-09-16T18-10-00Z,45.7616667,13.4963333,12.11,22.31,24.89,-0.044,0.058,0.073,322.82,0,-0.037,0.037,180
2024-09-16T18-20-00Z,45.7616667,13.4963333,12.13,22.31,58.09,-0.022,0.025,0.033,318.65,-0.01,-0.055,0.056,190.3
2024-09-16T18-30-00Z,45.7616667,13.4963333,12.15,22.31,76.92,-0.018,0.001,0.018,273.18,0.013,-0.052,0.054,165.96
2024-09-16T18-40-00Z,45.7616667,13.4963333,12.16,22.31,97.79,-0.016,0.009,0.018,299.36,0.042,-0.112,0.12,159.44
2024-09-16T18-50-00Z,45.7616667,13.4963333,12.17,22.31,73.18,-0.033,-0.011,0.035,251.57,0.024,-0.071,0.075,161.32
2024-09-16T19-00-00Z,45.7616667,13.4963333,12.19,22.31,71.74,-0.029,0.015,0.033,297.35,-0.004,-0.09,0.09,182.54
2024-09-16T19-10-00Z,45.7616667,13.4963333,12.19,22.31,68.17,-0.037,0.029,0.047,308.09,0.026,-0.074,0.078,160.64
2024-09-16T19-20-00Z,45.7616667,13.4963333,12.2,22.31,96.66,-0.006,0.032,0.033,349.38,0.05,-0.109,0.12,155.36
2024-09-16T19-30-00Z,45.7616667,13.4963333,12.2,22.31,85.45,-0.032,0.03,0.044,313.15,0.07,-0.09,0.114,142.13
2024-09-16T19-40-00Z,45.7616667,13.4963333,12.19,22.31,96.89,-0.014,-0.002,0.014,261.87,0.043,-0.104,0.113,157.54
2024-09-16T19-50-00Z,45.7616667,13.4963333,12.18,22.31,101.67,-0.004,0.011,0.012,340.02,0.046,-0.112,0.121,157.67
2024-09-16T20-00-00Z,45.7616667,13.4963333,12.17,22.31,117.71,0.01,0.031,0.033,17.88,0.067,-0.141,0.156,154.58
2024-09-16T20-10-00Z,45.7616667,13.4963333,12.16,22.31,117.55,-0.002,0.012,0.012,350.54,0.036,-0.134,0.139,164.96
2024-09-16T20-20-00Z,45.7616667,13.4963333,12.15,22.31,121.61,-0.021,-0.015,0.026,234.46,-0.004,-0.102,0.102,182.25
2024-09-16T20-30-00Z,45.7616667,13.4963333,12.13,22.31,152.81,-0.037,-0.017,0.041,245.32,0.064,-0.133,0.148,154.3
2024-09-16T20-40-00Z,45.7616667,13.4963333,12.11,22.31,95.4,-0.033,0.032,0.046,314.12,0.03,-0.139,0.142,167.82
2024-09-16T20-50-00Z,45.7616667,13.4963333,12.07,22.31,113.49,-0.006,-0.018,0.019,198.43,0.038,-0.143,0.148,165.12
2024-09-16T21-00-00Z,45.7616667,13.4963333,12.03,22.3,131.76,-0.02,0.011,0.023,298.81,0.046,-0.184,0.19,165.96
2024-09-16T21-10-00Z,45.7616667,13.4963333,11.99,22.31,126.62,-0.013,0.03,0.033,336.57,0.08,-0.177,0.194,155.68
2024-09-16T21-20-00Z,45.7616667,13.4963333,11.95,22.33,133.92,-0.023,0.042,0.048,331.29,0.093,-0.184,0.206,153.19
2024-09-16T21-30-00Z,45.7616667,13.4963333,11.91,22.33,170.03,-0.007,0.006,0.009,310.6,0.121,-0.222,0.253,151.41
2024-09-16T21-40-00Z,45.7616667,13.4963333,11.87,22.34,158.55,0.009,0.03,0.031,16.7,0.074,-0.222,0.234,161.57
2024-09-16T21-50-00Z,45.7616667,13.4963333,11.84,22.34,154.99,0.044,0.039,0.059,48.45,0.104,-0.204,0.229,152.99
2024-09-16T22-00-00Z,45.7616667,13.4963333,11.81,22.36,159.07,-0.026,-0.006,0.027,257.01,0.084,-0.22,0.235,159.1
2024-09-16T22-10-00Z,45.7616667,13.4963333,11.77,22.37,160.79,-0.01,0.021,0.023,334.54,0.1,-0.218,0.24,155.36
2024-09-16T22-20-00Z,45.7616667,13.4963333,11.71,22.38,180.9,0.003,0.01,0.01,16.7,0.084,-0.258,0.271,161.97
2024-09-16T22-30-00Z,45.7616667,13.4963333,11.67,22.4,183.55,-0.022,-0.012,0.025,241.39,0.092,-0.251,0.267,159.87
2024-09-16T22-40-00Z,45.7616667,13.4963333,11.62,22.41,168.98,-0.006,-0.004,0.007,236.31,0.082,-0.212,0.227,158.85
2024-09-16T22-50-00Z,45.7616667,13.4963333,11.57,22.41,120.01,0.005,0.027,0.027,10.49,0.041,-0.213,0.217,169.1
2024-09-16T23-00-00Z,45.7616667,13.4963333,11.52,22.42,144.47,-0.017,0.025,0.03,325.78,0.094,-0.238,0.256,158.45
2024-09-16T23-10-00Z,45.7616667,13.4963333,11.48,22.41,126.27,0.012,0.021,0.024,29.74,0.065,-0.211,0.221,162.88
2024-09-16T23-20-00Z,45.7616667,13.4963333,11.43,22.41,136.2,-0.071,-0.006,0.071,265.17,0.083,-0.229,0.244,160.08
2024-09-16T23-30-00Z,45.7616667,13.4963333,11.4,22.41,121.42,0.001,-0.003,0.003,161.57,0.092,-0.194,0.215,154.63
2024-09-16T23-40-00Z,45.7616667,13.4963333,11.36,22.41,103.37,-0.028,0.018,0.033,302.74,0.089,-0.162,0.185,151.22
2024-09-16T23-50-00Z,45.7616667,13.4963333,11.33,22.41,101.4,-0.046,-0.022,0.051,244.44,0.068,-0.154,0.168,156.18
2024-09-17T00-00-00Z,45.7616667,13.4963333,11.3,22.41,109.13,-0.016,0.013,0.021,309.09,0.052,-0.175,0.183,163.45
2024-09-17T00-10-00Z,45.7616667,13.4963333,11.27,22.41,98.7,-0.029,0.021,0.036,305.91,0.038,-0.168,0.172,167.25
2024-09-17T00-20-00Z,45.7616667,13.4963333,11.24,22.41,108.56,-0.054,0.017,0.057,287.47,0.055,-0.185,0.193,163.44
2024-09-17T00-30-00Z,45.7616667,13.4963333,11.2,22.41,119.7,-0.055,0.003,0.055,273.12,0.061,-0.2,0.209,163.04
2024-09-17T00-40-00Z,45.7616667,13.4963333,11.18,22.4,105.78,-0.025,0.004,0.025,279.09,0.064,-0.163,0.175,158.56
2024-09-17T00-50-00Z,45.7616667,13.4963333,11.15,22.4,105.26,-0.014,-0.032,0.035,203.63,0.073,-0.148,0.165,153.75
2024-09-17T01-00-00Z,45.7616667,13.4963333,11.14,22.4,73.23,-0.047,0.012,0.049,284.32,0.036,-0.089,0.096,157.98
2024-09-17T01-10-00Z,45.7616667,13.4963333,11.14,22.39,79.71,-0.078,0.004,0.078,272.94,0.041,-0.096,0.104,156.87
2024-09-17T01-20-00Z,45.7616667,13.4963333,11.13,22.39,72.96,-0.065,0.034,0.073,297.61,0.008,-0.111,0.111,175.88
2024-09-17T01-30-00Z,45.7616667,13.4963333,11.11,22.39,81.09,-0.059,-0.028,0.065,244.61,0.013,-0.105,0.106,172.94
2024-09-17T01-40-00Z,45.7616667,13.4963333,11.1,22.38,55.65,-0.094,-0.016,0.095,260.34,0.029,-0.089,0.094,161.95
2024-09-17T01-50-00Z,45.7616667,13.4963333,11.09,22.38,71.04,-0.084,-0,0.084,270,0.108,-0.102,0.149,133.36
2024-09-17T02-00-00Z,45.7616667,13.4963333,11.09,22.37,54.97,-0.099,0,0.099,270,0.048,-0.087,0.099,151.11
2024-09-17T02-10-00Z,45.7616667,13.4963333,11.09,22.37,52.13,-0.11,-0.014,0.111,262.75,-0.01,-0.093,0.094,186.14
2024-09-17T02-20-00Z,45.7616667,13.4963333,11.09,22.36,33.63,-0.062,-0.008,0.063,262.65,-0.003,-0.056,0.056,183.07
2024-09-17T02-30-00Z,45.7616667,13.4963333,11.08,22.36,43.04,-0.018,0.02,0.027,318.01,0.034,-0.073,0.081,155.03
2024-09-17T02-40-00Z,45.7616667,13.4963333,11.09,22.36,34.35,-0.028,-0,0.028,270,0.021,-0.047,0.051,155.92
2024-09-17T02-50-00Z,45.7616667,13.4963333,11.1,22.35,40.97,-0.036,-0.028,0.046,232.13,-0.017,-0.065,0.067,194.66
2024-09-17T03-00-00Z,45.7616667,13.4963333,11.12,22.35,45.43,-0.013,-0.005,0.014,248.96,0.016,-0.051,0.053,162.58
2024-09-17T03-10-00Z,45.7616667,13.4963333,11.15,22.35,25.56,-0.017,0.025,0.03,325.78,0.016,-0.036,0.039,156.04
2024-09-17T03-20-00Z,45.7616667,13.4963333,11.19,22.35,17.91,-0.008,0.035,0.036,347.12,0.024,-0.035,0.042,145.56
2024-09-17T03-30-00Z,45.7616667,13.4963333,11.22,22.35,17.17,-0.014,0.057,0.059,346.2,0.015,-0.026,0.03,150.02
2024-09-17T03-40-00Z,45.7616667,13.4963333,11.27,22.37,-11.84,-0.009,0.028,0.029,342.18,-0,0.032,0.032,0
2024-09-17T03-50-00Z,45.7616667,13.4963333,11.31,22.38,7.75,-0.012,0.031,0.033,338.84,-0.012,-0.015,0.019,218.66
2024-09-17T04-00-00Z,45.7616667,13.4963333,11.37,22.38,-18.21,0.012,0.059,0.06,11.5,0.01,0.037,0.038,15.12
2024-09-17T04-10-00Z,45.7616667,13.4963333,11.42,22.39,-22.89,-0.006,0.07,0.07,355.1,0.007,0.053,0.053,7.52
2024-09-17T04-20-00Z,45.7616667,13.4963333,11.45,22.39,8.76,0.01,0.012,0.016,39.81,0.01,0.005,0.011,63.43
2024-09-17T04-30-00Z,45.7616667,13.4963333,11.5,22.38,-0.81,-0.017,-0.015,0.023,228.58,0.006,0.024,0.025,14.04
2024-09-17T04-40-00Z,45.7616667,13.4963333,11.54,22.38,-17.16,-0.031,-0.02,0.037,237.17,-0.016,0.048,0.051,341.57
2024-09-17T04-50-00Z,45.7616667,13.4963333,11.58,22.38,-2.78,-0.013,0.038,0.04,341.11,-0.006,0.019,0.02,342.47
