dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_BottomAvrg,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-23T22-50-00Z,45.7616667,13.4963333,11.88,20.93,-13.94,-0.003,-0.014,0.014,192.09,-0.034,0.019,0.039,299.2
2024-09-23T23-00-00Z,45.7616667,13.4963333,11.92,20.93,-23.45,-0.012,0.019,0.022,327.72,-0.018,0.038,0.042,334.65
2024-09-23T23-10-00Z,45.7616667,13.4963333,11.93,20.94,8.25,-0.018,0.019,0.026,316.55,-0.02,-0.02,0.028,225
2024-09-23T23-20-00Z,45.7616667,13.4963333,11.96,20.94,21.95,-0.051,0.017,0.054,288.43,0.017,-0.028,0.033,148.74
2024-09-23T23-30-00Z,45.7616667,13.4963333,11.96,20.94,22.48,-0.046,-0.006,0.046,262.57,-0.018,-0.038,0.042,205.35
2024-09-23T23-40-00Z,45.7616667,13.4963333,11.98,20.95,12.93,-0.004,-0,0.004,270,-0.012,-0.018,0.022,213.69
2024-09-23T23-50-00Z,45.7616667,13.4963333,11.99,20.96,-1.22,0.007,-0.004,0.008,119.74,-0.01,0.012,0.016,320.19
2024-09-24T00-00-00Z,45.7616667,13.4963333,11.99,20.97,31.86,0.012,-0.025,0.028,154.36,-0.001,-0.037,0.037,181.55
2024-09-24T00-10-00Z,45.7616667,13.4963333,11.96,20.97,55.19,-0,-0.014,0.014,180,-0.005,-0.081,0.081,183.53
2024-09-24T00-20-00Z,45.7616667,13.4963333,11.97,20.97,6.59,0.006,0.03,0.031,11.31,0.023,-0.011,0.025,115.56
2024-09-24T00-30-00Z,45.7616667,13.4963333,11.99,20.98,34.94,0.024,0.034,0.042,35.22,0.036,-0.045,0.058,141.34
2024-09-24T00-40-00Z,45.7616667,13.4963333,12,20.98,-23.21,-0.015,0.07,0.072,347.91,0.007,0.008,0.011,41.19
2024-09-24T00-50-00Z,45.7616667,13.4963333,12.08,20.99,-96.31,-0.069,0.11,0.13,327.9,-0.05,0.113,0.124,336.13
2024-09-24T01-00-00Z,45.7616667,13.4963333,12.05,21,33.22,0.023,-0.014,0.027,121.33,0.036,-0.037,0.052,135.78
2024-09-24T01-10-00Z,45.7616667,13.4963333,12.11,21.01,18.54,0.007,-0.013,0.015,151.7,0.009,-0.023,0.025,158.63
2024-09-24T01-20-00Z,45.7616667,13.4963333,12.1,21.01,73.53,0.002,-0.046,0.046,177.51,0.033,-0.089,0.095,159.66
2024-09-24T01-30-00Z,45.7616667,13.4963333,11.99,21.02,124.49,0.044,-0.09,0.1,153.95,0.065,-0.154,0.167,157.12
2024-09-24T01-40-00Z,45.7616667,13.4963333,11.95,21.02,113.5,0.005,-0.069,0.069,175.86,0.035,-0.15,0.154,166.87
2024-09-24T01-50-00Z,45.7616667,13.4963333,11.81,21.01,177.33,0.01,-0.08,0.081,172.87,0.099,-0.226,0.247,156.34
2024-09-24T02-00-00Z,45.7616667,13.4963333,11.8,21.01,67.49,-0.017,0.026,0.031,326.82,0.056,-0.092,0.108,148.67
2024-09-24T02-10-00Z,45.7616667,13.4963333,11.85,21.02,-14.77,-0.092,0.142,0.169,327.06,0.016,-0.005,0.017,107.35
2024-09-24T02-20-00Z,45.7616667,13.4963333,11.87,21,-80.11,-0.161,0.083,0.181,297.27,-0.062,0.081,0.102,322.57
2024-09-24T02-30-00Z,45.7616667,13.4963333,11.9,21,14.91,-0.069,0.046,0.083,303.69,-0.035,-0.052,0.063,213.94
2024-09-24T02-40-00Z,45.7616667,13.4963333,11.92,21,70.56,-0.019,-0.02,0.028,223.53,0.034,-0.089,0.095,159.09
2024-09-24T02-50-00Z,45.7616667,13.4963333,11.94,21,56.1,0.023,-0.053,0.058,156.54,0.018,-0.066,0.068,164.74
2024-09-24T03-00-00Z,45.7616667,13.4963333,11.91,21,45.81,-0.006,-0.02,0.021,196.7,0.003,-0.067,0.067,177.44
2024-09-24T03-10-00Z,45.7616667,13.4963333,11.87,21,79.49,0.016,-0.026,0.031,148.39,0.011,-0.125,0.125,174.97
2024-09-24T03-20-00Z,45.7616667,13.4963333,11.9,20.99,25.14,-0.008,0.064,0.064,352.87,0.013,-0.063,0.064,168.34
2024-09-24T03-30-00Z,45.7616667,13.4963333,11.89,20.99,-1.58,-0.036,0.048,0.06,323.13,-0.011,-0.015,0.019,216.25
2024-09-24T03-40-00Z,45.7616667,13.4963333,11.88,21,10.76,-0.027,0.008,0.028,286.5,0.003,-0.023,0.023,172.57
2024-09-24T03-50-00Z,45.7616667,13.4963333,11.86,21,14.03,0.006,0.008,0.01,36.87,-0.001,-0.024,0.024,182.39
2024-09-24T04-00-00Z,45.7616667,13.4963333,11.9,21,-17.54,-0.021,0.061,0.065,341,-0.012,0.018,0.022,326.31
2024-09-24T04-10-00Z,45.7616667,13.4963333,11.93,20.99,-26.02,-0.031,0.11,0.114,344.26,0.03,0.021,0.037,55.01
2024-09-24T04-20-00Z,45.7616667,13.4963333,11.92,21,-30.33,-0.063,0.06,0.087,313.6,-0.002,0.019,0.019,353.99
2024-09-24T04-30-00Z,45.7616667,13.4963333,11.92,21,9.35,0.026,0.036,0.044,35.84,0.037,-0.021,0.043,119.58
2024-09-24T04-40-00Z,45.7616667,13.4963333,11.87,21,52.61,0.005,-0.032,0.032,171.12,0.041,-0.081,0.091,153.15
2024-09-24T04-50-00Z,45.7616667,13.4963333,11.86,21,-48.52,-0.053,0.007,0.053,277.52,-0.048,0.038,0.061,308.37
2024-09-24T05-00-00Z,45.7616667,13.4963333,11.87,21,-64.24,-0.048,0.018,0.051,290.56,-0.018,0.074,0.076,346.33
2024-09-24T05-10-00Z,45.7616667,13.4963333,11.85,21,-88.58,0.017,0.047,0.05,19.89,-0.025,0.101,0.104,346.1
2024-09-24T05-20-00Z,45.7616667,13.4963333,11.88,21,-69.23,-0.014,0.06,0.062,346.87,-0.031,0.075,0.081,337.54
2024-09-24T05-30-00Z,45.7616667,13.4963333,11.9,21,-58.99,-0.011,0.033,0.035,341.57,0.006,0.069,0.069,4.97
2024-09-24T05-40-00Z,45.7616667,13.4963333,11.91,21,-28.86,-0.017,0.037,0.041,335.32,-0.016,0.029,0.033,331.11
2024-09-24T05-50-00Z,45.7616667,13.4963333,11.95,21,-87.4,-0.015,0.045,0.047,341.57,-0.029,0.106,0.11,344.7
2024-09-24T06-00-00Z,45.7616667,13.4963333,11.93,21.01,-7.72,-0.016,-0.014,0.021,228.81,0.005,0.019,0.02,14.74
2024-09-24T06-10-00Z,45.7616667,13.4963333,11.97,21.01,-21.69,-0.006,0.005,0.008,309.81,0.008,0.032,0.033,14.04
2024-09-24T06-20-00Z,45.7616667,13.4963333,11.93,21.01,-9.14,0.01,-0.044,0.045,167.2,0.028,0.022,0.036,51.84
2024-09-24T06-30-00Z,45.7616667,13.4963333,11.89,21.01,34.3,0.036,-0.041,0.055,138.72,0.03,-0.027,0.04,131.99
2024-09-24T06-40-00Z,45.7616667,13.4963333,11.86,21,76.21,-0.038,-0.024,0.045,237.72,0.032,-0.103,0.108,162.74
2024-09-24T06-50-00Z,45.7616667,13.4963333,11.78,21,100.56,-0.04,-0.039,0.056,225.73,0.026,-0.136,0.138,169.18
2024-09-24T07-00-00Z,45.7616667,13.4963333,11.81,21,-2.52,-0.048,0.093,0.105,332.7,0.01,-0.017,0.02,149.53
2024-09-24T07-10-00Z,45.7616667,13.4963333,11.84,21,-41.09,-0.044,0.058,0.073,322.82,-0.035,0.047,0.059,323.33
2024-09-24T07-20-00Z,45.7616667,13.4963333,11.88,21.01,-133.22,-0.086,0.207,0.224,337.44,-0.062,0.138,0.151,335.81
