dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_BottomAvrg,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-24T22-40-00Z,45.7616667,13.4963333,11.83,21.1,118.54,-0.063,-0.011,0.064,260.1,0.041,-0.158,0.163,165.45
2024-09-24T22-50-00Z,45.7616667,13.4963333,11.83,21.1,122.66,-0.02,0.012,0.023,300.96,0.056,-0.162,0.171,160.93
2024-09-24T23-00-00Z,45.7616667,13.4963333,11.84,21.1,100.02,-0.055,0.002,0.055,272.08,0.041,-0.139,0.145,163.57
2024-09-24T23-10-00Z,45.7616667,13.4963333,11.85,21.1,101.97,-0.025,-0.008,0.026,252.26,0.05,-0.115,0.125,156.5
2024-09-24T23-20-00Z,45.7616667,13.4963333,11.85,21.1,87.98,-0.023,-0.001,0.023,267.51,0.044,-0.098,0.107,155.82
2024-09-24T23-30-00Z,45.7616667,13.4963333,11.87,21.1,91.31,-0.02,0.026,0.033,322.43,0.04,-0.116,0.123,160.97
2024-09-24T23-40-00Z,45.7616667,13.4963333,11.86,21.1,146.31,-0.057,-0.023,0.061,248.03,0.104,-0.176,0.204,149.42
2024-09-24T23-50-00Z,45.7616667,13.4963333,11.85,21.1,112.21,-0.041,-0.013,0.043,252.41,0.052,-0.14,0.149,159.62
2024-09-25T00-00-00Z,45.7616667,13.4963333,11.85,21.1,118.64,-0.055,0.002,0.055,272.08,0.063,-0.151,0.164,157.35
2024-09-25T00-10-00Z,45.7616667,13.4963333,11.84,21.1,118.12,-0.03,0.017,0.034,299.54,0.058,-0.163,0.173,160.41
2024-09-25T00-20-00Z,45.7616667,13.4963333,11.85,21.1,97.5,0.011,0.021,0.024,27.65,0.048,-0.123,0.132,158.68
2024-09-25T00-30-00Z,45.7616667,13.4963333,11.85,21.1,103.48,-0.023,0.014,0.027,301.33,0.066,-0.137,0.152,154.28
2024-09-25T00-40-00Z,45.7616667,13.4963333,11.86,21.1,104.93,-0.01,0.003,0.01,286.7,0.07,-0.123,0.142,150.36
2024-09-25T00-50-00Z,45.7616667,13.4963333,11.85,21.1,90.34,0.006,0.003,0.007,63.43,0.036,-0.111,0.117,162.03
2024-09-25T01-00-00Z,45.7616667,13.4963333,11.83,21.1,115.16,-0.078,-0.006,0.078,265.6,0.086,-0.152,0.175,150.5
2024-09-25T01-10-00Z,45.7616667,13.4963333,11.84,21.1,111.31,-0.01,-0.017,0.02,210.47,0.064,-0.139,0.153,155.28
2024-09-25T01-20-00Z,45.7616667,13.4963333,11.84,21.1,102.06,-0.026,0.019,0.032,306.16,0.064,-0.126,0.141,153.07
2024-09-25T01-30-00Z,45.7616667,13.4963333,11.85,21.1,87.03,0.01,0.032,0.034,17.35,0.058,-0.113,0.127,152.83
2024-09-25T01-40-00Z,45.7616667,13.4963333,11.85,21.1,84.93,-0.006,0.016,0.017,339.44,0.045,-0.104,0.113,156.6
2024-09-25T01-50-00Z,45.7616667,13.4963333,11.85,21.1,93.12,-0.019,0.011,0.022,300.07,0.071,-0.108,0.129,146.68
2024-09-25T02-00-00Z,45.7616667,13.4963333,11.86,21.1,97.79,-0.043,0.023,0.049,298.14,0.045,-0.134,0.141,161.44
2024-09-25T02-10-00Z,45.7616667,13.4963333,11.86,21.1,96.3,-0.009,-0.005,0.01,240.95,0.031,-0.116,0.12,165.04
2024-09-25T02-20-00Z,45.7616667,13.4963333,11.87,21.1,72.25,-0.01,0.014,0.017,324.46,0.04,-0.096,0.104,157.38
2024-09-25T02-30-00Z,45.7616667,13.4963333,11.89,21.1,54.63,0.005,0.054,0.054,5.29,0.038,-0.072,0.081,152.18
2024-09-25T02-40-00Z,45.7616667,13.4963333,11.89,21.1,77.36,-0.051,-0.001,0.051,268.88,0.017,-0.105,0.106,170.8
2024-09-25T02-50-00Z,45.7616667,13.4963333,11.9,21.1,64.75,-0.03,0.003,0.03,275.71,0.019,-0.084,0.086,167.25
2024-09-25T03-00-00Z,45.7616667,13.4963333,11.89,21.1,70.47,-0.036,-0.024,0.043,236.31,0.026,-0.072,0.077,160.14
2024-09-25T03-10-00Z,45.7616667,13.4963333,11.89,21.1,79.25,-0.024,0.012,0.027,296.57,0.03,-0.108,0.112,164.48
2024-09-25T03-20-00Z,45.7616667,13.4963333,11.88,21.1,102.23,-0.038,-0.019,0.042,243.43,0.057,-0.12,0.133,154.59
2024-09-25T03-30-00Z,45.7616667,13.4963333,11.88,21.1,91.02,-0.048,-0.006,0.048,262.87,0.015,-0.128,0.129,173.32
2024-09-25T03-40-00Z,45.7616667,13.4963333,11.88,21.1,88.81,-0.023,0.025,0.034,317.39,0.072,-0.121,0.141,149.25
2024-09-25T03-50-00Z,45.7616667,13.4963333,11.89,21.1,63.41,0.009,0.037,0.038,13.67,0.028,-0.083,0.088,161.36
2024-09-25T04-00-00Z,45.7616667,13.4963333,11.89,21.1,80.68,-0.006,0.04,0.04,351.47,0.04,-0.115,0.122,160.82
2024-09-25T04-10-00Z,45.7616667,13.4963333,11.88,21.12,90.23,0.007,0.022,0.023,17.65,0.045,-0.123,0.131,159.9
2024-09-25T04-20-00Z,45.7616667,13.4963333,11.89,21.12,106.41,0.009,-0.004,0.01,113.96,0.074,-0.138,0.157,151.8
2024-09-25T04-30-00Z,45.7616667,13.4963333,11.89,21.13,87.28,-0.03,0.033,0.045,317.73,0.03,-0.133,0.136,167.29
2024-09-25T04-40-00Z,45.7616667,13.4963333,11.89,21.13,93.64,-0.007,0.011,0.013,327.53,0.024,-0.13,0.132,169.54
2024-09-25T04-50-00Z,45.7616667,13.4963333,11.9,21.13,64.12,-0.001,0.018,0.018,356.82,0.031,-0.086,0.091,160.18
2024-09-25T05-00-00Z,45.7616667,13.4963333,11.93,21.13,63.47,-0.027,0.016,0.031,300.65,0.036,-0.081,0.089,156.04
2024-09-25T05-10-00Z,45.7616667,13.4963333,11.94,21.13,80.33,0.011,0.013,0.017,40.24,0.026,-0.101,0.104,165.56
2024-09-25T05-20-00Z,45.7616667,13.4963333,11.95,21.13,81.73,-0.018,0.028,0.033,327.26,0.034,-0.121,0.126,164.31
2024-09-25T05-30-00Z,45.7616667,13.4963333,11.96,21.12,69.71,-0.025,-0.015,0.029,239.04,0.04,-0.081,0.09,153.72
2024-09-25T05-40-00Z,45.7616667,13.4963333,11.96,21.12,76.83,-0.013,0.024,0.027,331.56,0.007,-0.117,0.117,176.58
2024-09-25T05-50-00Z,45.7616667,13.4963333,11.94,21.12,94.6,-0.01,-0.022,0.024,204.44,0.038,-0.119,0.125,162.29
2024-09-25T06-00-00Z,45.7616667,13.4963333,11.93,21.12,98.22,-0.005,0.009,0.01,330.95,0.027,-0.131,0.134,168.35
2024-09-25T06-10-00Z,45.7616667,13.4963333,11.92,21.12,85.38,-0.014,0.023,0.027,328.67,0.045,-0.118,0.126,159.13
2024-09-25T06-20-00Z,45.7616667,13.4963333,11.91,21.11,93.86,-0.049,0.006,0.049,276.98,0.035,-0.126,0.131,164.48
2024-09-25T06-30-00Z,45.7616667,13.4963333,11.93,21.11,75.04,-0.015,0.016,0.022,316.85,0.029,-0.094,0.098,162.85
2024-09-25T06-40-00Z,45.7616667,13.4963333,11.94,21.11,69.5,-0.001,0.007,0.007,351.87,0.009,-0.091,0.091,174.35
2024-09-25T06-50-00Z,45.7616667,13.4963333,11.96,21.11,88.96,-0.006,0.02,0.021,343.3,0.04,-0.121,0.127,161.71
2024-09-25T07-00-00Z,45.7616667,13.4963333,11.98,21.11,97.42,-0.022,-0.012,0.025,241.39,0.035,-0.134,0.138,165.36
2024-09-25T07-10-00Z,45.7616667,13.4963333,11.98,21.11,114.83,-0.014,0.011,0.018,308.16,0.055,-0.152,0.162,160.11
2024-09-25T07-20-00Z,45.7616667,13.4963333,11.98,21.11,105.82,-0.04,-0.019,0.044,244.59,0.052,-0.124,0.134,157.25
2024-09-25T07-30-00Z,45.7616667,13.4963333,11.98,21.11,114.3,-0.033,-0.017,0.037,242.74,0.069,-0.144,0.16,154.4
2024-09-25T07-40-00Z,45.7616667,13.4963333,11.97,21.11,117.64,-0.003,-0.017,0.017,190.01,0.063,-0.139,0.153,155.62
2024-09-25T07-50-00Z,45.7616667,13.4963333,11.99,21.11,113.74,-0.013,-0.007,0.015,241.7,0.047,-0.141,0.149,161.57
2024-09-25T08-00-00Z,45.7616667,13.4963333,12,21.11,114.48,0.016,0.007,0.017,66.37,0.079,-0.147,0.167,151.75
2024-09-25T08-10-00Z,45.7616667,13.4963333,11.99,21.11,143.83,-0.012,0.011,0.016,312.51,0.066,-0.207,0.217,162.32
2024-09-25T08-20-00Z,45.7616667,13.4963333,11.98,21.11,148.68,0.008,0.032,0.033,14.04,0.076,-0.222,0.235,161.1
2024-09-25T08-30-00Z,45.7616667,13.4963333,11.98,21.11,166.71,0.014,0.041,0.043,18.85,0.122,-0.23,0.26,152.06
2024-09-25T08-40-00Z,45.7616667,13.4963333,11.98,21.11,127.41,-0.022,0.029,0.036,322.82,0.067,-0.193,0.204,160.86
2024-09-25T08-50-00Z,45.7616667,13.4963333,11.98,21.11,171.55,-0.014,0.017,0.022,320.53,0.113,-0.248,0.273,155.5
2024-09-25T09-00-00Z,45.7616667,13.4963333,11.98,21.11,164.52,-0.011,0.042,0.043,345.32,0.103,-0.253,0.273,157.85
2024-09-25T09-10-00Z,45.7616667,13.4963333,11.98,21.11,171.46,-0.032,0.015,0.035,295.11,0.108,-0.248,0.27,156.47
2024-09-25T09-20-00Z,45.7616667,13.4963333,11.98,21.11,179.18,-0.027,-0.003,0.027,263.66,0.102,-0.253,0.273,158.04
2024-09-25T09-30-00Z,45.7616667,13.4963333,11.98,21.11,173.08,-0.034,-0.012,0.036,250.56,0.108,-0.24,0.263,155.77
2024-09-25T09-40-00Z,45.7616667,13.4963333,11.97,21.11,208.62,-0.007,0.012,0.014,329.74,0.097,-0.304,0.319,162.3
2024-09-25T09-50-00Z,45.7616667,13.4963333,11.99,21.11,166.36,-0.008,0.004,0.009,296.57,0.106,-0.237,0.26,155.9
2024-09-25T10-00-00Z,45.7616667,13.4963333,11.99,21.11,178.82,0.001,-0.02,0.02,177.14,0.122,-0.242,0.271,153.25
2024-09-25T10-10-00Z,45.7616667,13.4963333,12.02,21.12,163.83,-0.016,0.016,0.023,315,0.092,-0.233,0.251,158.45
2024-09-25T10-20-00Z,45.7616667,13.4963333,12.02,21.12,169.74,0.001,-0.008,0.008,172.87,0.116,-0.231,0.258,153.34
2024-09-25T10-30-00Z,45.7616667,13.4963333,12.02,21.12,187.93,-0.007,0.004,0.008,299.74,0.11,-0.265,0.287,157.46
2024-09-25T10-40-00Z,45.7616667,13.4963333,12.02,21.11,162.37,-0.004,0.01,0.011,338.2,0.106,-0.232,0.255,155.44
2024-09-25T10-50-00Z,45.7616667,13.4963333,12,21.11,194.7,-0.001,-0.01,0.01,185.71,0.1,-0.271,0.289,159.75
2024-09-25T11-00-00Z,45.7616667,13.4963333,11.99,21.12,161.48,-0.032,0.033,0.046,315.88,0.085,-0.24,0.255,160.5
2024-09-25T11-10-00Z,45.7616667,13.4963333,11.98,21.11,187.29,-0.014,0.017,0.022,320.53,0.127,-0.266,0.295,154.48
2024-09-25T11-20-00Z,45.7616667,13.4963333,11.97,21.11,171.63,-0.016,0.015,0.022,313.15,0.075,-0.245,0.256,162.98
2024-09-25T11-30-00Z,45.7616667,13.4963333,11.98,21.11,157.42,-0.02,0.041,0.046,334,0.115,-0.223,0.251,152.72
2024-09-25T11-40-00Z,45.7616667,13.4963333,11.97,21.11,173.41,0.004,0.028,0.028,8.13,0.096,-0.25,0.268,158.99
2024-09-25T11-50-00Z,45.7616667,13.4963333,11.97,21.11,147.01,-0.018,0.018,0.025,315,0.084,-0.211,0.227,158.29
2024-09-25T12-00-00Z,45.7616667,13.4963333,11.96,21.11,140.32,-0.014,0.017,0.022,320.53,0.103,-0.186,0.213,151.02
2024-09-25T12-10-00Z,45.7616667,13.4963333,11.97,21.11,157.6,-0.017,0.031,0.035,331.26,0.121,-0.218,0.249,150.97
2024-09-25T12-20-00Z,45.7616667,13.4963333,11.96,21.12,135.85,-0.01,0.024,0.026,337.38,0.092,-0.19,0.211,154.16
2024-09-25T12-30-00Z,45.7616667,13.4963333,11.97,21.12,120.13,-0.021,0.056,0.06,339.44,0.075,-0.17,0.186,156.19
2024-09-25T12-40-00Z,45.7616667,13.4963333,11.96,21.12,156.49,-0.003,0.008,0.009,339.44,0.121,-0.203,0.236,149.2
2024-09-25T12-50-00Z,45.7616667,13.4963333,11.96,21.12,156.76,-0.021,0.04,0.045,332.3,0.126,-0.223,0.256,150.53
2024-09-25T13-00-00Z,45.7616667,13.4963333,11.94,21.12,185.08,-0.042,0.007,0.043,279.46,0.12,-0.268,0.294,155.88
2024-09-25T13-10-00Z,45.7616667,13.4963333,11.93,21.12,128.13,-0.017,0.009,0.019,297.9,0.089,-0.183,0.203,154.06
2024-09-25T13-20-00Z,45.7616667,13.4963333,11.93,21.12,151.71,-0.046,0.009,0.047,281.07,0.111,-0.206,0.234,151.68
2024-09-25T13-30-00Z,45.7616667,13.4963333,11.93,21.12,145.79,-0.013,0.008,0.015,301.61,0.064,-0.225,0.234,164.12
2024-09-25T13-40-00Z,45.7616667,13.4963333,11.93,21.12,132.47,-0.001,0.029,0.029,358.03,0.11,-0.191,0.22,150.06
2024-09-25T13-50-00Z,45.7616667,13.4963333,11.92,21.12,176.68,-0.008,0.042,0.043,349.22,0.097,-0.263,0.28,159.75
2024-09-25T14-00-00Z,45.7616667,13.4963333,11.92,21.12,138.67,0.016,0.018,0.024,41.63,0.11,-0.199,0.227,151.07
2024-09-25T14-10-00Z,45.7616667,13.4963333,11.92,21.12,176.4,-0.01,0.041,0.042,346.29,0.103,-0.255,0.275,158.01
2024-09-25T14-20-00Z,45.7616667,13.4963333,11.92,21.12,144.62,-0.021,-0.014,0.025,236.31,0.079,-0.215,0.229,159.82
2024-09-25T14-30-00Z,45.7616667,13.4963333,11.93,21.12,131.94,0.012,0.021,0.024,29.74,0.084,-0.183,0.201,155.34
2024-09-25T14-40-00Z,45.7616667,13.4963333,11.94,21.12,157.04,-0.018,0.065,0.067,344.52,0.109,-0.239,0.263,155.48
2024-09-25T14-50-00Z,45.7616667,13.4963333,11.93,21.12,127.04,-0.03,0.024,0.038,308.66,0.084,-0.187,0.205,155.81
2024-09-25T15-00-00Z,45.7616667,13.4963333,11.93,21.12,168.09,0.001,0.007,0.007,8.13,0.094,-0.243,0.261,158.85
2024-09-25T15-10-00Z,45.7616667,13.4963333,11.91,21.12,178.26,-0.024,-0.021,0.032,228.81,0.106,-0.248,0.27,156.86
2024-09-25T15-20-00Z,45.7616667,13.4963333,11.93,21.12,176.93,-0.032,0.009,0.033,285.71,0.087,-0.252,0.267,160.95
2024-09-25T15-30-00Z,45.7616667,13.4963333,11.93,21.12,189.29,-0.021,0.037,0.043,330.42,0.103,-0.276,0.295,159.54
2024-09-25T15-40-00Z,45.7616667,13.4963333,11.95,21.12,167.07,-0.043,0.001,0.043,271.33,0.096,-0.233,0.252,157.61
2024-09-25T15-50-00Z,45.7616667,13.4963333,11.95,21.12,180.34,0.009,-0.002,0.009,102.53,0.106,-0.249,0.271,156.94
2024-09-25T16-00-00Z,45.7616667,13.4963333,11.96,21.12,190.24,0.01,0.003,0.01,73.3,0.09,-0.265,0.28,161.24
2024-09-25T16-10-00Z,45.7616667,13.4963333,11.95,21.12,175.69,-0.006,0.019,0.02,342.47,0.107,-0.247,0.269,156.58
2024-09-25T16-20-00Z,45.7616667,13.4963333,11.96,21.12,170.31,-0.036,0.004,0.036,276.34,0.115,-0.23,0.257,153.43
2024-09-25T16-30-00Z,45.7616667,13.4963333,11.95,21.13,180.23,-0.018,0.038,0.042,334.65,0.086,-0.266,0.28,162.08
2024-09-25T16-40-00Z,45.7616667,13.4963333,11.97,21.13,161.78,-0.017,0.025,0.03,325.78,0.081,-0.235,0.249,160.98
2024-09-25T16-50-00Z,45.7616667,13.4963333,11.98,21.13,167.12,-0.021,0.019,0.028,312.14,0.126,-0.223,0.256,150.53
2024-09-25T17-00-00Z,45.7616667,13.4963333,11.98,21.13,177.43,0.015,0.036,0.039,22.62,0.14,-0.244,0.281,150.15
2024-09-25T17-10-00Z,45.7616667,13.4963333,11.97,21.13,196.48,-0.023,0.01,0.025,293.5,0.11,-0.273,0.294,158.05
2024-09-25T17-20-00Z,45.7616667,13.4963333,11.96,21.13,187.46,-0.045,-0.005,0.045,263.66,0.088,-0.267,0.281,161.76
2024-09-25T17-30-00Z,45.7616667,13.4963333,11.95,21.13,187.79,-0.018,-0.01,0.021,240.95,0.119,-0.261,0.287,155.49
2024-09-25T17-40-00Z,45.7616667,13.4963333,11.95,21.14,170.92,0.007,-0.007,0.01,135,0.086,-0.237,0.252,160.06
2024-09-25T17-50-00Z,45.7616667,13.4963333,11.96,21.14,193.62,-0.024,0.018,0.03,306.87,0.108,-0.282,0.302,159.04
2024-09-25T18-00-00Z,45.7616667,13.4963333,11.96,21.14,192.54,-0.033,-0.02,0.039,238.78,0.087,-0.278,0.291,162.62
2024-09-25T18-10-00Z,45.7616667,13.4963333,11.96,21.14,186.61,0,-0.007,0.007,180,0.098,-0.253,0.271,158.83
2024-09-25T18-20-00Z,45.7616667,13.4963333,11.94,21.15,191.87,-0.007,-0.02,0.021,199.29,0.1,-0.255,0.274,158.59
2024-09-25T18-30-00Z,45.7616667,13.4963333,11.95,21.15,181.1,-0.017,0.018,0.025,316.64,0.117,-0.242,0.269,154.2
2024-09-25T18-40-00Z,45.7616667,13.4963333,11.95,21.15,177.4,-0.005,0.011,0.012,335.56,0.121,-0.236,0.265,152.86
2024-09-25T18-50-00Z,45.7616667,13.4963333,11.96,21.16,189.01,-0.011,-0.002,0.011,259.7,0.115,-0.261,0.285,156.22
2024-09-25T19-00-00Z,45.7616667,13.4963333,11.96,21.16,168.64,-0.011,0.005,0.012,294.44,0.092,-0.231,0.249,158.28
2024-09-25T19-10-00Z,45.7616667,13.4963333,11.95,21.16,161.27,-0.025,0.016,0.03,302.62,0.078,-0.227,0.24,161.04
2024-09-25T19-20-00Z,45.7616667,13.4963333,11.95,21.17,167.44,-0.007,0.008,0.011,318.81,0.099,-0.227,0.248,156.44
2024-09-25T19-30-00Z,45.7616667,13.4963333,11.94,21.17,153.04,-0.016,0.016,0.023,315,0.087,-0.212,0.229,157.69
2024-09-25T19-40-00Z,45.7616667,13.4963333,11.92,21.17,178.79,-0.024,-0.001,0.024,267.61,0.113,-0.245,0.27,155.24
2024-09-25T19-50-00Z,45.7616667,13.4963333,11.89,21.17,178.99,-0.055,-0.023,0.06,247.31,0.108,-0.249,0.271,156.55
2024-09-25T20-00-00Z,45.7616667,13.4963333,11.87,21.18,194.13,-0.021,0.012,0.024,299.74,0.113,-0.269,0.292,157.21
2024-09-25T20-10-00Z,45.7616667,13.4963333,11.85,21.18,170.76,0.009,0.015,0.017,30.96,0.1,-0.243,0.263,157.63
2024-09-25T20-20-00Z,45.7616667,13.4963333,11.83,21.18,177.19,-0.021,0.004,0.021,280.78,0.11,-0.253,0.276,156.5
2024-09-25T20-30-00Z,45.7616667,13.4963333,11.83,21.18,187.76,-0.037,-0.004,0.037,263.83,0.113,-0.249,0.273,155.59
2024-09-25T20-40-00Z,45.7616667,13.4963333,11.82,21.18,170.21,-0.004,0.011,0.012,340.02,0.098,-0.239,0.258,157.7
2024-09-25T20-50-00Z,45.7616667,13.4963333,11.81,21.18,172.92,-0.037,-0.009,0.038,256.33,0.133,-0.23,0.266,149.96
2024-09-25T21-00-00Z,45.7616667,13.4963333,11.8,21.18,155.18,-0.022,0.014,0.026,302.47,0.09,-0.227,0.244,158.37
2024-09-25T21-10-00Z,45.7616667,13.4963333,11.76,21.18,210.56,-0.04,0.007,0.041,279.93,0.148,-0.298,0.333,153.59
2024-09-25T21-20-00Z,45.7616667,13.4963333,11.74,21.18,175.06,-0.008,-0.025,0.026,197.74,0.114,-0.224,0.251,153.03
2024-09-25T21-30-00Z,45.7616667,13.4963333,11.74,21.19,161.84,-0.009,0.016,0.018,330.64,0.078,-0.239,0.251,161.93
2024-09-25T21-40-00Z,45.7616667,13.4963333,11.74,21.2,152.44,-0.025,0.019,0.031,307.23,0.086,-0.219,0.235,158.56
2024-09-25T21-50-00Z,45.7616667,13.4963333,11.76,21.2,131.37,0.002,0.01,0.01,11.31,0.059,-0.187,0.196,162.49
2024-09-25T22-00-00Z,45.7616667,13.4963333,11.76,21.2,163.61,-0.024,0.001,0.024,272.39,0.102,-0.229,0.251,155.99
2024-09-25T22-10-00Z,45.7616667,13.4963333,11.75,21.2,171.37,0.032,0.013,0.035,67.89,0.105,-0.231,0.254,155.56
2024-09-25T22-20-00Z,45.7616667,13.4963333,11.73,21.2,179.65,-0.027,-0.004,0.027,261.57,0.088,-0.266,0.28,161.69
2024-09-25T22-30-00Z,45.7616667,13.4963333,11.7,21.2,174.63,-0.056,-0.01,0.057,259.88,0.07,-0.256,0.265,164.71
2024-09-25T22-40-00Z,45.7616667,13.4963333,11.7,21.2,160.06,-0.044,0.022,0.049,296.57,0.091,-0.232,0.249,158.58
2024-09-25T22-50-00Z,45.7616667,13.4963333,11.71,21.2,153.81,0.009,-0.005,0.01,119.05,0.135,-0.198,0.24,145.71
2024-09-25T23-00-00Z,45.7616667,13.4963333,11.71,21.2,154.87,-0.024,-0.006,0.025,255.96,0.088,-0.215,0.232,157.74
2024-09-25T23-10-00Z,45.7616667,13.4963333,11.72,21.2,137.98,-0.016,0.012,0.02,306.87,0.092,-0.196,0.217,154.86
2024-09-25T23-20-00Z,45.7616667,13.4963333,11.73,21.2,167.86,-0.027,-0.001,0.027,267.88,0.088,-0.241,0.257,159.94
2024-09-25T23-30-00Z,45.7616667,13.4963333,11.73,21.2,130.95,0.008,0.038,0.039,11.89,0.053,-0.194,0.201,164.72
2024-09-25T23-40-00Z,45.7616667,13.4963333,11.73,21.2,130.34,-0.013,0.037,0.039,340.64,0.086,-0.181,0.2,154.59
2024-09-25T23-50-00Z,45.7616667,13.4963333,11.73,21.2,146.41,-0.012,0.012,0.017,315,0.097,-0.206,0.228,154.79
2024-09-26T00-00-00Z,45.7616667,13.4963333,11.73,21.2,126.37,-0.032,0.039,0.05,320.63,0.071,-0.194,0.207,159.9
2024-09-26T00-10-00Z,45.7616667,13.4963333,11.72,21.2,147.52,-0.044,-0.007,0.045,260.96,0.106,-0.198,0.225,151.84
2024-09-26T00-20-00Z,45.7616667,13.4963333,11.72,21.2,125.64,-0.018,0.008,0.02,293.96,0.082,-0.185,0.202,156.1
2024-09-26T00-30-00Z,45.7616667,13.4963333,11.72,21.2,141.74,-0.011,0.021,0.024,332.35,0.089,-0.208,0.226,156.83
2024-09-26T00-40-00Z,45.7616667,13.4963333,11.71,21.21,113.64,-0.031,-0.006,0.032,259.05,0.056,-0.158,0.168,160.48
2024-09-26T00-50-00Z,45.7616667,13.4963333,11.74,21.21,119.07,-0.01,0.022,0.024,335.56,0.061,-0.172,0.182,160.47
2024-09-26T01-00-00Z,45.7616667,13.4963333,11.75,21.21,111.45,-0.01,0.029,0.031,340.97,0.057,-0.171,0.18,161.57
2024-09-26T01-10-00Z,45.7616667,13.4963333,11.78,21.21,100.91,-0.028,0.029,0.04,316.01,0.056,-0.148,0.158,159.27
2024-09-26T01-20-00Z,45.7616667,13.4963333,11.79,21.21,111.33,-0.027,0.018,0.032,303.69,0.059,-0.165,0.175,160.32
2024-09-26T01-30-00Z,45.7616667,13.4963333,11.8,21.21,128.27,0.01,0.023,0.025,23.5,0.085,-0.176,0.195,154.22
2024-09-26T01-40-00Z,45.7616667,13.4963333,11.82,21.22,112.7,-0.034,0.022,0.04,302.91,0.055,-0.159,0.168,160.92
2024-09-26T01-50-00Z,45.7616667,13.4963333,11.82,21.22,108.41,-0.019,0.019,0.027,315,0.092,-0.145,0.172,147.61
2024-09-26T02-00-00Z,45.7616667,13.4963333,11.83,21.22,99.41,0.002,0.027,0.027,4.24,0.062,-0.129,0.143,154.33
2024-09-26T02-10-00Z,45.7616667,13.4963333,11.85,21.23,118.17,0.002,0.009,0.009,12.53,0.072,-0.155,0.171,155.08
2024-09-26T02-20-00Z,45.7616667,13.4963333,11.85,21.23,103.8,-0.031,0.023,0.039,306.57,0.053,-0.137,0.147,158.85
2024-09-26T02-30-00Z,45.7616667,13.4963333,11.87,21.23,76.08,-0.054,0.021,0.058,291.25,0.019,-0.109,0.111,170.11
2024-09-26T02-40-00Z,45.7616667,13.4963333,11.87,21.24,98.64,-0.03,0.033,0.045,317.73,0.03,-0.149,0.152,168.62
2024-09-26T02-50-00Z,45.7616667,13.4963333,11.87,21.25,109.1,-0.024,0.011,0.026,294.62,0.036,-0.16,0.164,167.32
2024-09-26T03-00-00Z,45.7616667,13.4963333,11.89,21.25,77.58,-0.016,0.03,0.034,331.93,0.015,-0.109,0.11,172.16
2024-09-26T03-10-00Z,45.7616667,13.4963333,11.92,21.26,49.92,-0.046,0.066,0.08,325.12,0.029,-0.077,0.082,159.36
2024-09-26T03-20-00Z,45.7616667,13.4963333,11.95,21.27,40.27,-0.023,0.103,0.106,347.41,0.01,-0.067,0.068,171.51
2024-09-26T03-30-00Z,45.7616667,13.4963333,11.97,21.28,62.1,-0.004,0.068,0.068,356.63,0.025,-0.086,0.09,163.79
2024-09-26T03-40-00Z,45.7616667,13.4963333,11.98,21.28,84.21,-0.024,0.064,0.068,339.44,0.029,-0.121,0.124,166.52
2024-09-26T03-50-00Z,45.7616667,13.4963333,11.98,21.28,92.13,-0.024,0.008,0.025,288.43,0.061,-0.112,0.128,151.43
2024-09-26T04-00-00Z,45.7616667,13.4963333,11.99,21.28,60.75,-0.026,0.015,0.03,299.98,0.057,-0.061,0.083,136.94
2024-09-26T04-10-00Z,45.7616667,13.4963333,12,21.28,53.07,-0.012,0.039,0.041,342.9,0.044,-0.056,0.071,141.84
2024-09-26T04-20-00Z,45.7616667,13.4963333,12.01,21.28,44.83,-0.022,0.002,0.022,275.19,0.026,-0.04,0.048,146.98
2024-09-26T04-30-00Z,45.7616667,13.4963333,12.03,21.29,30.23,-0.047,0.012,0.049,284.32,0.006,-0.035,0.036,170.27
2024-09-26T04-40-00Z,45.7616667,13.4963333,12.03,21.29,57.18,-0.028,-0.021,0.035,233.13,0.015,-0.068,0.07,167.56
2024-09-26T04-50-00Z,45.7616667,13.4963333,12.04,21.29,55.33,-0.03,-0.007,0.031,256.87,0.04,-0.053,0.066,142.96
2024-09-26T05-00-00Z,45.7616667,13.4963333,12.05,21.29,60.03,0.002,0.023,0.023,4.97,0.01,-0.092,0.093,173.8
2024-09-26T05-10-00Z,45.7616667,13.4963333,12.06,21.29,39.37,-0.026,0.008,0.027,287.1,0.043,-0.043,0.061,135
2024-09-26T05-20-00Z,45.7616667,13.4963333,12.07,21.29,70.62,-0.036,0.003,0.036,274.76,0.04,-0.082,0.091,154
2024-09-26T05-30-00Z,45.7616667,13.4963333,12.07,21.29,38.56,-0.035,0.011,0.037,287.45,0.041,-0.035,0.054,130.49
2024-09-26T05-40-00Z,45.7616667,13.4963333,12.09,21.29,54.96,0.023,0.006,0.024,75.38,0.031,-0.05,0.059,148.2
2024-09-26T05-50-00Z,45.7616667,13.4963333,12.09,21.29,49.51,-0.047,0.015,0.049,287.7,-0.001,-0.06,0.06,180.95
2024-09-26T06-00-00Z,45.7616667,13.4963333,12.09,21.29,58.01,-0.047,-0.004,0.047,265.14,0.029,-0.057,0.064,153.03
2024-09-26T06-10-00Z,45.7616667,13.4963333,12.09,21.29,55.62,-0.008,-0.021,0.022,200.85,0.03,-0.06,0.067,153.43
