dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_Bottom,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_Top,Dir_Top
2024-08-29T15-00-00Z,45.7616667,13.4963333,11.97,27.22,-0.26,0.141,0.042,0.147,73.41,0.014,-0.011,0.018,128.16
2024-08-29T15-10-00Z,45.7616667,13.4963333,11.99,27.22,0.26,0.111,0.023,0.113,78.29,0.013,-0.005,0.014,111.04
2024-08-29T15-20-00Z,45.7616667,13.4963333,12,27.22,-5.7,0.051,0.018,0.054,70.56,-0.006,-0.002,0.006,251.57
2024-08-29T15-30-00Z,45.7616667,13.4963333,12,27.22,12.1,0.035,-0.01,0.036,105.95,0.039,-0.012,0.041,107.1
2024-08-29T15-40-00Z,45.7616667,13.4963333,12,27.22,8.4,0.045,-0.005,0.045,96.34,0.02,-0.008,0.022,111.8
2024-08-29T15-50-00Z,45.7616667,13.4963333,12.01,27.22,6.09,0.067,0.016,0.069,76.57,0.01,-0.03,0.032,161.57
2024-08-29T16-00-00Z,45.7616667,13.4963333,12.02,27.22,9.23,0.128,0.054,0.139,67.13,0.017,-0.025,0.03,145.78
2024-08-29T16-10-00Z,45.7616667,13.4963333,12.03,27.22,13.52,0.122,0.015,0.123,82.99,0.008,-0.026,0.027,162.9
2024-08-29T16-20-00Z,45.7616667,13.4963333,12.04,27.22,17.75,0.113,0.003,0.113,88.48,0.017,-0.04,0.043,156.97
2024-08-29T16-30-00Z,45.7616667,13.4963333,12.05,27.22,9.07,0.059,-0.006,0.059,95.81,0.006,-0.014,0.015,156.8
2024-08-29T16-40-00Z,45.7616667,13.4963333,12.05,27.22,5.96,0.047,0.001,0.047,88.78,0.004,-0.01,0.011,158.2
2024-08-29T16-50-00Z,45.7616667,13.4963333,12.07,27.22,18.53,0.103,0.013,0.104,82.81,0.004,-0.026,0.026,171.25
2024-08-29T17-00-00Z,45.7616667,13.4963333,12.08,27.22,2.57,0.104,0.032,0.109,72.9,0.003,0.011,0.011,15.26
2024-08-29T17-30-00Z,45.7616667,13.4963333,12.12,27.22,9.36,0.037,0.004,0.037,83.83,0.051,0.003,0.051,86.63
2024-08-29T17-40-00Z,45.7616667,13.4963333,12.13,27.22,2.59,0.021,-0.013,0.025,121.76,0.062,0.036,0.072,59.86
2024-08-29T17-50-00Z,45.7616667,13.4963333,12.13,27.22,24.56,0.058,0.017,0.06,73.66,0.046,-0.023,0.051,116.57
2024-08-29T18-00-00Z,45.7616667,13.4963333,12.13,27.22,9.59,0.041,0.028,0.05,55.67,0.027,-0.004,0.027,98.43
2024-08-29T18-10-00Z,45.7616667,13.4963333,12.13,27.22,23.1,0.084,0.016,0.086,79.22,0.02,-0.023,0.03,138.99
2024-08-29T18-20-00Z,45.7616667,13.4963333,12.12,27.21,32.95,0.062,0.008,0.063,82.65,0.037,-0.042,0.056,138.62
2024-08-29T18-30-00Z,45.7616667,13.4963333,12.12,27.21,34.75,0.082,-0.009,0.082,96.26,0.049,-0.011,0.05,102.65
2024-08-29T18-40-00Z,45.7616667,13.4963333,12.11,27.21,27.16,0.118,0.023,0.12,78.97,0.035,-0.011,0.037,107.45
2024-08-29T19-00-00Z,45.7616667,13.4963333,12.1,27.21,14.82,0.112,0.024,0.115,77.91,0.025,0.01,0.027,68.2
2024-08-29T19-10-00Z,45.7616667,13.4963333,12.09,27.21,9.72,0.073,0.037,0.082,63.12,0.007,-0,0.007,90
2024-08-29T19-20-00Z,45.7616667,13.4963333,12.07,27.21,17.6,0.027,0.018,0.032,56.31,0.01,-0.008,0.013,128.66
2024-08-29T19-30-00Z,45.7616667,13.4963333,12.07,27.21,35.76,0.027,0.013,0.03,64.29,0.02,-0.032,0.038,147.99
2024-08-29T19-40-00Z,45.7616667,13.4963333,12.06,27.21,26.97,0.012,0.033,0.035,19.98,-0.004,-0.035,0.035,186.52
2024-08-29T19-50-00Z,45.7616667,13.4963333,12.05,27.21,35.8,-0.039,0.007,0.04,280.18,0.039,-0.037,0.054,133.49
2024-08-29T20-00-00Z,45.7616667,13.4963333,12.04,27.21,34.63,-0.04,0.009,0.041,282.68,0.014,-0.049,0.051,164.05
2024-08-29T20-10-00Z,45.7616667,13.4963333,12.01,27.21,37.46,-0.028,0.04,0.049,325.01,0.063,-0.035,0.072,119.05
2024-08-29T20-20-00Z,45.7616667,13.4963333,12,27.21,33.46,-0.041,0.009,0.042,282.38,0.035,-0.047,0.059,143.33
2024-08-29T20-30-00Z,45.7616667,13.4963333,11.97,27.21,38.43,-0.094,0.018,0.096,280.84,0.064,-0.061,0.088,133.63
2024-08-29T20-40-00Z,45.7616667,13.4963333,11.93,27.21,58.96,-0.063,0.001,0.063,270.91,0.044,-0.105,0.114,157.26
2024-08-29T20-50-00Z,45.7616667,13.4963333,11.9,27.21,52.43,-0.017,0.003,0.017,280.01,0.026,-0.099,0.102,165.28
2024-08-29T21-00-00Z,45.7616667,13.4963333,11.87,27.21,61.24,0.083,0.033,0.089,68.32,0.031,-0.103,0.108,163.25
2024-08-29T21-10-00Z,45.7616667,13.4963333,11.84,27.21,31.96,0.085,0.022,0.088,75.49,0.028,-0.034,0.044,140.53
2024-08-29T21-20-00Z,45.7616667,13.4963333,11.81,27.21,45,0.058,-0.01,0.059,99.78,0.037,-0.055,0.066,146.07
2024-08-29T21-30-00Z,45.7616667,13.4963333,11.79,27.2,58.67,0.061,-0.016,0.063,104.7,0.039,-0.074,0.084,152.21
2024-08-29T21-40-00Z,45.7616667,13.4963333,11.77,27.2,39.48,-0.038,-0.011,0.04,253.86,0.004,-0.065,0.065,176.48
2024-08-29T21-50-00Z,45.7616667,13.4963333,11.74,27.2,50.76,-0.089,-0.014,0.09,261.06,0.028,-0.077,0.082,160.02
2024-08-29T22-00-00Z,45.7616667,13.4963333,11.71,27.2,54.44,-0.08,0.021,0.083,284.71,0.065,-0.089,0.11,143.86
2024-08-29T22-10-00Z,45.7616667,13.4963333,11.67,27.2,67.36,-0.054,0.005,0.054,275.29,0.029,-0.13,0.133,167.42
2024-08-29T22-20-00Z,45.7616667,13.4963333,11.64,27.2,38.98,-0.088,0.001,0.088,270.65,0.053,-0.046,0.07,130.96
2024-08-29T22-30-00Z,45.7616667,13.4963333,11.62,27.2,17.33,-0.01,-0.025,0.027,201.8,0.049,-0.017,0.052,109.13
2024-08-29T22-40-00Z,45.7616667,13.4963333,11.6,27.2,17.39,-0.057,0.004,0.057,274.01,0.016,-0.02,0.026,141.34
2024-08-29T22-50-00Z,45.7616667,13.4963333,11.57,27.2,39.45,-0.111,-0.001,0.111,269.48,0.036,-0.048,0.06,143.13
2024-08-29T23-00-00Z,45.7616667,13.4963333,11.54,27.2,68.1,-0.106,-0.01,0.106,264.61,0.094,-0.084,0.126,131.78
2024-08-29T23-10-00Z,45.7616667,13.4963333,11.5,27.2,53.2,-0.19,-0.035,0.193,259.56,0.039,-0.112,0.119,160.8
2024-08-29T23-20-00Z,45.7616667,13.4963333,11.46,27.2,60.37,-0.168,0.01,0.168,273.41,0.064,-0.138,0.152,155.12
2024-08-29T23-30-00Z,45.7616667,13.4963333,11.42,27.2,34.55,-0.071,-0.016,0.073,257.3,0.059,-0.059,0.083,135
2024-08-29T23-40-00Z,45.7616667,13.4963333,11.4,27.2,30.19,-0.004,0.027,0.027,351.57,0.007,-0.083,0.083,175.18
2024-08-29T23-50-00Z,45.7616667,13.4963333,11.39,27.2,24.5,0.013,0.037,0.039,19.36,0.017,-0.053,0.056,162.22
2024-08-30T00-00-00Z,45.7616667,13.4963333,11.38,27.2,35.62,0.033,0.01,0.034,73.14,-0.008,-0.087,0.087,185.25
2024-08-30T00-10-00Z,45.7616667,13.4963333,11.37,27.2,30.68,-0.029,0.003,0.029,275.91,0.022,-0.055,0.059,158.2
2024-08-30T00-20-00Z,45.7616667,13.4963333,11.36,27.2,27.09,-0.128,-0.027,0.131,258.09,0.008,-0.055,0.056,171.72
2024-08-30T00-30-00Z,45.7616667,13.4963333,11.35,27.2,49.51,-0.134,-0.038,0.139,254.17,0.043,-0.09,0.1,154.46
2024-08-30T00-40-00Z,45.7616667,13.4963333,11.35,27.2,35.8,-0.087,-0.03,0.092,250.97,0.011,-0.07,0.071,171.07
2024-08-30T00-50-00Z,45.7616667,13.4963333,11.35,27.2,45.09,-0.095,-0.044,0.105,245.15,0.028,-0.084,0.089,161.57
2024-08-30T01-00-00Z,45.7616667,13.4963333,11.34,27.2,38.06,-0.125,-0.028,0.128,257.37,0.036,-0.072,0.08,153.43
2024-08-30T01-10-00Z,45.7616667,13.4963333,11.34,27.2,30.08,-0.124,-0.057,0.136,245.31,-0.006,-0.063,0.063,185.44
2024-08-30T01-20-00Z,45.7616667,13.4963333,11.33,27.2,2.21,-0.083,-0.03,0.088,250.13,-0.035,-0.039,0.052,221.91
2024-08-30T01-30-00Z,45.7616667,13.4963333,11.32,27.2,34.63,-0.106,-0.025,0.109,256.73,-0.009,-0.095,0.095,185.41
2024-08-30T01-40-00Z,45.7616667,13.4963333,11.32,27.2,28.12,-0.014,-0.052,0.054,195.07,-0.031,-0.07,0.077,203.89
2024-08-30T01-50-00Z,45.7616667,13.4963333,11.33,27.2,25.11,-0.009,-0.064,0.065,188,0.02,-0.034,0.039,149.53
2024-08-30T02-00-00Z,45.7616667,13.4963333,11.36,27.19,18.88,0.042,-0.059,0.072,144.55,-0.004,-0.017,0.017,193.24
2024-08-30T02-10-00Z,45.7616667,13.4963333,11.39,27.19,29.72,0.126,-0.06,0.14,115.46,0.024,-0.039,0.046,148.39
2024-08-30T02-20-00Z,45.7616667,13.4963333,11.42,27.19,24.77,0.02,-0.062,0.065,162.12,-0.003,-0.048,0.048,183.58
2024-08-30T02-30-00Z,45.7616667,13.4963333,11.44,27.19,31.23,-0.056,-0.08,0.098,214.99,-0.017,-0.08,0.082,192
2024-08-30T02-40-00Z,45.7616667,13.4963333,11.47,27.2,36.37,-0.057,-0.052,0.077,227.63,0.026,-0.081,0.085,162.2
2024-08-30T02-50-00Z,45.7616667,13.4963333,11.49,27.19,18.1,-0.053,-0.026,0.059,243.87,0.009,-0.045,0.046,168.69
2024-08-30T03-00-00Z,45.7616667,13.4963333,11.51,27.19,19.39,-0.063,-0.054,0.083,229.4,0.025,-0.045,0.051,150.95
2024-08-30T03-10-00Z,45.7616667,13.4963333,11.54,27.19,6.16,-0.002,-0.039,0.039,182.94,-0.002,-0.03,0.03,183.81
2024-08-30T03-20-00Z,45.7616667,13.4963333,11.58,27.19,16.58,0.052,-0.03,0.06,119.98,-0.007,-0.037,0.038,190.71
2024-08-30T03-30-00Z,45.7616667,13.4963333,11.62,27.19,1.14,0.03,-0.062,0.069,154.18,-0.012,-0.013,0.018,222.71
2024-08-30T03-40-00Z,45.7616667,13.4963333,11.65,27.19,-4.66,0.06,-0.04,0.072,123.69,-0.002,-0.005,0.005,201.8
2024-08-30T03-50-00Z,45.7616667,13.4963333,11.69,27.19,9.58,0.118,-0.007,0.118,93.39,-0.009,-0.033,0.034,195.26
2024-08-30T04-00-00Z,45.7616667,13.4963333,11.74,27.2,-16.78,0.103,-0.022,0.105,102.06,-0.013,0.019,0.023,325.62
2024-08-30T04-10-00Z,45.7616667,13.4963333,11.78,27.2,8.45,0.165,-0.015,0.166,95.19,-0.002,-0.017,0.017,186.71
2024-08-30T04-20-00Z,45.7616667,13.4963333,11.82,27.2,-3,0.146,-0.021,0.148,98.19,-0.017,-0.005,0.018,253.61
2024-08-30T04-30-00Z,45.7616667,13.4963333,11.87,27.2,18.6,0.202,-0.016,0.203,94.53,-0.004,-0.032,0.032,187.13
2024-08-30T04-40-00Z,45.7616667,13.4963333,11.9,27.2,12.33,0.131,-0.049,0.14,110.51,0.004,-0.009,0.01,156.04
