dateTime,latitude,longitude,PRES,TEMP,RVFL,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT,PROFILE #,DEPTH,VCSP,EWCT,NSCT
2024-08-29T08-50-00Z,45.7616667,13.4963333,12.11,27.28,22.36,1,10.95,0.046,0.595,0.15,2,10.45,0.036,-0.157,0.269,3,9.95,0.236,-0.071,-0.162,4,9.45,0.154,0.637,-0.53,5,8.95,-0.101,-0.166,0.278,6,8.45,-0.021,-0.309,0.276,7,7.95,0.04,-0.145,-0.001,8,7.45,0.025,-0.174,0.065,9,6.95,0.015,-0.085,0.125,10,6.45,0.019,-0.12,0.065,11,5.95,-0.021,-0.257,-0.108,12,5.45,-0.024,-0.064,-0.058,13,4.95,-0.055,-0.138,-0.16,14,4.45,0,-0.034,0.019,15,3.95,-0.047,0.023,-0.041,16,3.45,-0.057,0.085,-0.027,17,2.95,-0.021,0.012,-0.023,18,2.45,-0.003,-0.013,-0.005,19,1.95,-0.04,0.055,-0.034,20,1.45,0.003,0.116,-0.133,21,0.95,-0.012,0.109,-0.152,22,0.45,-0.002,0.083,-0.148
2024-08-29T09-00-00Z,45.7616667,13.4963333,12.1,27.28,20.97,1,10.94,0.065,0.667,0.209,2,10.44,0.03,-0.135,0.286,3,9.94,0.23,0.041,-0.145,4,9.44,0.141,0.66,-0.488,5,8.94,-0.091,-0.071,0.169,6,8.44,-0.019,-0.272,0.244,7,7.94,0.05,-0.185,0.07,8,7.44,0.014,-0.137,0.063,9,6.94,0.006,-0.174,0.078,10,6.44,0.029,-0.173,0.032,11,5.94,-0.03,-0.24,-0.109,12,5.44,-0.028,-0.104,-0.065,13,4.94,-0.063,-0.182,-0.214,14,4.44,0.005,-0.011,0.047,15,3.94,-0.077,0.173,-0.001,16,3.44,-0.09,0.183,-0.072,17,2.94,-0.032,0.011,-0.001,18,2.44,-0.025,0.006,-0.007,19,1.94,-0.047,0.065,-0.04,20,1.44,-0.003,0.186,-0.107,21,0.94,-0.014,0.07,-0.13,22,0.44,-0.02,0.034,-0.168
2024-08-29T09-10-00Z,45.7616667,13.4963333,12.08,27.28,21.81,1,10.93,0.07,0.599,0.219,2,10.43,0.045,-0.186,0.348,3,9.93,0.265,0.064,-0.075,4,9.43,0.197,0.648,-0.475,5,8.93,-0.072,-0.226,0.213,6,8.43,-0.014,-0.301,0.309,7,7.93,0.028,-0.094,0.04,8,7.43,0.005,-0.127,0.044,9,6.93,0.015,-0.132,0.065,10,6.43,0.019,-0.177,0.049,11,5.93,-0.013,-0.224,-0.135,12,5.43,0.031,-0.025,0.074,13,4.93,-0.035,-0.181,-0.098,14,4.43,0.005,-0.022,0.059,15,3.93,-0.046,0.085,-0.036,16,3.43,-0.07,0.185,0.004,17,2.93,-0.023,-0.03,0,18,2.43,-0.032,0.045,-0.01,19,1.93,-0.035,0.113,-0.03,20,1.43,-0.008,0.159,-0.122,21,0.93,-0.02,0.123,-0.165,22,0.43,-0.011,0.088,-0.164
2024-08-29T09-20-00Z,45.7616667,13.4963333,12.06,27.28,18.01,1,10.91,0.046,0.707,0.23,2,10.41,0.039,-0.145,0.338,3,9.91,0.304,-0.061,-0.116,4,9.41,0.219,0.552,-0.451,5,8.91,-0.095,-0.096,0.275,6,8.41,-0.012,-0.265,0.271,7,7.91,0.031,-0.134,0.065,8,7.41,0.016,-0.09,0.052,9,6.91,0,-0.126,0.068,10,6.41,0.017,-0.19,-0.044,11,5.91,-0.012,-0.175,-0.024,12,5.41,0.012,-0.007,0.159,13,4.91,-0.05,-0.165,-0.193,14,4.41,0.019,-0.086,0.067,15,3.91,-0.074,0.196,-0.076,16,3.41,-0.069,0.235,-0.044,17,2.91,-0.011,0.001,-0.068,18,2.41,-0.013,0.034,0.011,19,1.91,-0.023,0.035,-0.048,20,1.41,-0.011,0.054,-0.117,21,0.91,-0.007,0.037,-0.125,22,0.41,-0.005,0.049,-0.135
2024-08-29T09-30-00Z,45.7616667,13.4963333,12.05,27.29,8.99,1,10.9,0.076,0.603,0.252,2,10.4,0.011,-0.199,0.345,3,9.9,0.298,-0.053,-0.144,4,9.4,0.106,0.938,-0.442,5,8.9,-0.144,0.156,0.226,6,8.4,-0.043,-0.209,0.253,7,7.9,0,-0.04,0.047,8,7.4,0.016,-0.074,0.07,9,6.9,-0.014,-0.089,0.108,10,6.4,0.017,-0.171,-0.002,11,5.9,-0.015,-0.045,0.005,12,5.4,0.02,0.177,0.281,13,4.9,-0.054,-0.212,-0.176,14,4.4,0.019,0.004,0.063,15,3.9,-0.087,0.224,-0.02,16,3.4,-0.041,0.234,0.071,17,2.9,-0.009,-0.016,0.031,18,2.4,-0.006,0.045,0.008,19,1.9,-0.032,0.06,-0.009,20,1.4,-0.01,0.1,-0.126,21,0.9,-0.008,0.08,-0.046,22,0.4,-0.02,0.145,-0.071
2024-08-29T09-50-00Z,45.7616667,13.4963333,12.04,27.29,10.22,1,10.89,0.046,0.612,0.151,2,10.39,0.006,-0.169,0.244,3,9.89,0.265,-0.083,-0.189,4,9.39,0.079,0.861,-0.486,5,8.89,-0.142,0.215,0.171,6,8.39,-0.043,-0.113,0.236,7,7.89,-0.009,-0.027,0.075,8,7.39,-0.011,-0.086,0.037,9,6.89,-0.014,-0.145,0.001,10,6.39,-0.009,-0.179,-0.072,11,5.89,0.017,-0.143,-0.01,12,5.39,0.012,0,0.136,13,4.89,-0.042,-0.106,-0.088,14,4.39,0.024,0.007,0.097,15,3.89,-0.076,0.216,0.022,16,3.39,-0.044,0.17,0.062,17,2.89,-0.007,-0.01,0.012,18,2.39,-0.007,0.025,0.031,19,1.89,-0.032,0.052,-0.008,20,1.39,-0.002,0.068,-0.074,21,0.89,-0.004,0.079,-0.075,22,0.39,-0.007,0.009,-0.121
2024-08-29T10-00-00Z,45.7616667,13.4963333,12.03,27.29,13.28,1,10.88,0.02,0.635,0.157,2,10.38,0.021,-0.107,0.305,3,9.88,0.271,-0.051,-0.121,4,9.38,0.087,0.837,-0.457,5,8.88,-0.157,0.27,0.187,6,8.38,-0.031,-0.18,0.294,7,7.88,-0.036,0.01,0.109,8,7.38,-0.026,0.015,0.099,9,6.88,-0.026,-0.064,0.026,10,6.38,-0.002,-0.088,-0.045,11,5.88,0.002,-0.116,-0.026,12,5.38,0.029,0.076,0.166,13,4.88,-0.02,-0.099,-0.028,14,4.38,-0.003,0.045,0.1,15,3.88,-0.081,0.184,-0.069,16,3.38,-0.076,0.223,-0.005,17,2.88,-0.02,0.02,-0.009,18,2.38,-0.013,-0.023,-0.001,19,1.88,-0.025,0.018,-0.052,20,1.38,-0.01,0.092,-0.082,21,0.88,-0.014,0.04,-0.097,22,0.38,-0.009,0.096,-0.119
2024-08-29T10-10-00Z,45.7616667,13.4963333,12.02,27.29,7.92,1,10.87,0.014,0.6,0.162,2,10.37,-0.012,-0.116,0.431,3,9.87,0.254,-0.005,-0.16,4,9.37,0.08,0.893,-0.431,5,8.87,-0.137,0.202,0.174,6,8.37,-0.029,-0.196,0.247,7,7.87,0.015,-0.078,0.073,8,7.37,0.013,-0.115,0.048,9,6.87,0.001,-0.171,-0.053,10,6.37,-0.023,-0.183,-0.094,11,5.87,0.109,-0.194,0.145,12,5.37,0.102,0.177,0.461,13,4.87,-0.03,-0.111,-0.065,14,4.37,-0.005,0.057,0.116,15,3.87,-0.038,0.065,-0.022,16,3.37,-0.066,0.176,-0.056,17,2.87,0.02,-0.047,0.01,18,2.37,-0.01,-0.053,-0.002,19,1.87,-0.029,0.004,-0.036,20,1.37,-0.003,0.024,-0.117,21,0.87,0.005,0.035,-0.104,22,0.37,-0.009,0.093,-0.074
2024-08-29T10-20-00Z,45.7616667,13.4963333,12.01,27.29,10.24,1,10.86,0.008,0.516,0.122,2,10.36,-0.045,-0.131,0.48,3,9.86,0.254,0.119,-0.246,4,9.36,0.079,0.871,-0.472,5,8.86,-0.129,0.222,0.142,6,8.36,-0.022,-0.135,0.278,7,7.86,0.008,-0.065,0.063,8,7.36,-0.002,-0.085,0.078,9,6.86,-0.015,-0.095,-0.075,10,6.36,0.002,-0.242,-0.159,11,5.86,0.078,-0.164,0.146,12,5.36,0.131,0.094,0.408,13,4.86,-0.018,-0.219,-0.143,14,4.36,0.027,0.036,0.114,15,3.86,-0.032,0.067,0.022,16,3.36,-0.055,0.152,-0.005,17,2.86,0.006,-0.048,0.086,18,2.36,0,0.005,-0.01,19,1.86,-0.02,-0.022,-0.066,20,1.36,-0.013,0.042,-0.125,21,0.86,-0.024,0.057,-0.127,22,0.36,-0.011,0.117,-0.083
2024-08-29T10-30-00Z,45.7616667,13.4963333,11.99,27.28,12.74,1,10.84,0.022,0.723,0.188,2,10.34,-0.014,-0.194,0.425,3,9.84,0.237,0.091,-0.277,4,9.34,0.159,0.565,-0.472,5,8.84,-0.074,-0.086,0.142,6,8.34,-0.013,-0.253,0.184,7,7.84,0.03,-0.15,0.06,8,7.34,0.018,-0.158,0.049,9,6.84,0.002,-0.227,-0.026,10,6.34,0.027,-0.27,-0.119,11,5.84,0.07,-0.157,0.096,12,5.34,0.105,0.081,0.354,13,4.84,-0.026,-0.099,-0.047,14,4.34,0.027,0.032,0.127,15,3.84,-0.014,0.024,0.005,16,3.34,-0.047,0.164,0.062,17,2.84,0.008,-0.051,0.061,18,2.34,-0.014,-0.003,-0.009,19,1.84,-0.032,0.06,-0.041,20,1.34,0,0.069,-0.127,21,0.84,-0.005,0.119,-0.095,22,0.34,-0.005,0.095,-0.152
